Date,QQQ,SPY
2025-04-01,472.70001220703125,560.969970703125
2025-04-02,476.1499938964844,564.52001953125
2025-04-03,450.6600036621094,536.7000122070312
2025-04-04,422.6700134277344,505.2799987792969
2025-04-07,423.69000244140625,504.3800048828125
2025-04-08,416.05999755859375,496.4800109863281
2025-04-09,466.0,548.6199951171875
2025-04-10,446.17999267578125,524.5800170898438
2025-04-11,454.3999938964844,533.9400024414062
2025-04-14,457.4800109863281,539.1199951171875
2025-04-15,457.989990234375,537.6099853515625
2025-04-16,444.17999267578125,525.6599731445312
2025-04-17,444.1000061035156,526.4099731445312
2025-04-21,433.1099853515625,513.8800048828125
2025-04-22,444.4800109863281,527.25
2025-04-23,454.55999755859375,535.4199829101562
2025-04-24,467.3500061035156,546.6900024414062
2025-04-25,472.55999755859375,550.6400146484375
2025-04-28,472.4100036621094,550.8499755859375
2025-04-29,475.5299987792969,554.3200073242188
2025-04-30,475.4700012207031,554.5399780273438
2025-05-01,481.67999267578125,558.469970703125
2025-05-02,488.8299865722656,566.760009765625
2025-05-05,485.92999267578125,563.510009765625
2025-05-06,481.4100036621094,558.7999877929688
2025-05-07,483.29998779296875,561.1500244140625
2025-05-08,488.2900085449219,565.0599975585938
2025-05-09,487.9700012207031,564.3400268554688
2025-05-12,507.8500061035156,582.989990234375
2025-05-13,515.5900268554688,586.8400268554688
2025-05-14,518.6799926757812,587.5900268554688
2025-05-15,519.25,590.4600219726562
2025-05-16,521.510009765625,594.2000122070312
